BuildingID,BuildingType,YearBuilt,MonthlyElectricityConsumption_kWh,PeakUsageTime_Hour,RenewableCapacity_kWh,RenewableType,RenewableContributionPercentage,EnergySource,EnergyEfficiency_kWh_per_m2,WeatherData_Temperature_C,WeatherData_SolarIntensity_Hours,WeatherData_WindSpeed_km_h
B000063,Industrial,,799.9,14,1572.11,Geothermal,45.66,Electricity,28.64,-15.11,0.95,74.12
B000064,Healthcare,,294.77,13,3839.64,Solar,87.3,Biomass,8.73,9.17,11.43,63.0
B000065,Educational,,226.37,15,14368.54,Wind,66.3,Electricity,7.82,-7.31,1.62,92.43
B000066,Retail,,267.72,18,707.12,Geothermal,32.54,Biomass,42.22,30.72,5.78,79.4
B000067,Commercial,,335.14,2,1308.9,Geothermal,51.8,Electricity,25.87,-8.18,6.64,96.62
B000068,Educational,,166.0,4,18030.25,Hydro,60.96,Biomass,33.93,21.11,10.11,100.82
B000069,Educational,2002.0,140.36,1,5192.25,Solar,51.61,Mixed Sources,47.87,-6.7,0.84,4.84
B000070,Commercial,,949.11,1,9110.08,Wind,66.27,Mixed Sources,13.75,31.08,9.55,72.92
B000071,Residential,1986.0,37.53,16,6528.06,Hydro,74.69,Electricity,42.63,20.92,0.64,92.62
B000072,Agricultural,,265.25,6,5395.23,,73.53,Electricity,22.64,-8.42,3.39,45.06
B000073,Residential,,89.64,17,9975.73,Solar,89.66,Electricity,16.37,11.24,5.72,61.3
B000074,Commercial,,382.32,6,4445.09,Geothermal,54.86,Electricity,30.9,26.34,9.51,13.6
B000075,Residential,2006.0,69.2,3,3164.92,Solar,,Electricity,36.11,42.13,6.59,82.02
B000076,Government,,371.5,11,519.73,Geothermal,50.01,Electricity,33.2,16.11,7.03,93.31
B000077,Residential,,39.84,4,383.51,Geothermal,27.73,Biomass,24.01,18.63,1.04,59.07
B000078,Retail,,251.5,13,4204.72,Hydro,61.05,Electricity,49.87,37.35,0.4,44.07
B000079,Industrial,,932.4,11,550.85,Solar,75.19,Electricity,18.75,27.12,10.06,73.3
B000080,Industrial,,257.39,22,3780.11,Solar,72.18,Electricity,22.88,14.14,1.19,55.71
B000081,Industrial,2023.0,832.67,15,2263.87,,30.18,Electricity,19.04,2.52,10.93,73.35
B000082,Residential,,48.85,21,2556.28,,53.4,Biomass,28.34,-0.42,10.96,1.58
B000083,Commercial,,181.93,11,8164.53,Solar,78.66,Mixed Sources,46.25,-16.8,10.72,11.54
B000084,Educational,1925.0,270.87,14,18637.48,Hydro,62.27,Electricity,45.32,38.4,1.24,33.01
B000085,Commercial,,153.43,6,5999.78,Solar,88.5,Mixed Sources,31.15,27.81,9.71,
B000086,Industrial,,970.27,7,5038.52,Wind,74.12,Electricity,20.16,3.18,9.38,42.9
B000087,Hospitality,,1376.14,17,3795.51,Solar,,Biomass,10.17,29.11,1.02,35.98
B000088,Residential,1901.0,143.41,11,7742.67,Wind,40.87,Electricity,20.27,5.97,0.94,21.12
B000089,Residential,2014.0,89.1,20,14393.8,Wind,50.76,Electricity,6.73,42.08,1.99,75.88
B000090,Sports,,143.15,11,380.74,Geothermal,31.78,Electricity,38.16,27.88,1.48,
B000091,Hospitality,1988.0,39.92,19,8109.91,Solar,93.37,Biomass,48.59,33.21,11.03,78.75
B000092,Industrial,,631.71,18,4934.86,,49.71,Electricity,25.71,1.92,9.39,99.95
B000093,Residential,,144.68,23,4272.98,Solar,99.16,Electricity,11.26,12.65,7.24,61.44
B000094,Residential,,43.31,1,5555.19,Hydro,70.36,Electricity,19.26,41.9,11.46,58.27
B000095,Sports,,307.87,22,2880.22,Hydro,48.91,Electricity,18.19,12.25,10.53,43.57
B000096,Industrial,1987.0,1111.31,8,12145.46,Wind,87.6,Electricity,8.89,14.9,9.4,90.45
B000097,Recreational,,299.59,23,6729.68,Solar,96.0,Biomass,44.91,28.85,6.93,27.16
B000098,Commercial,,156.25,4,9280.61,Wind,85.98,Electricity,33.18,-13.34,11.8,11.56
B000099,Industrial,,166.52,12,7413.1,,40.14,Electricity,47.95,-17.9,1.06,61.87
B000100,Residential,,36.67,15,6890.49,Biomass,27.13,Electricity,38.04,27.5,10.85,104.88
B000101,Industrial,,397.87,22,5262.76,Wind,68.03,Electricity,43.99,-1.9,11.62,48.72
B000102,Residential,,90.22,14,1535.1,Solar,61.88,Biomass,28.5,35.77,0.83,97.84
B000103,Commercial,,87.23,16,8700.51,Wind,37.51,Electricity,35.83,-14.24,3.87,86.37
B000104,Residential,1922.0,199.6,20,2742.96,Solar,83.08,Electricity,9.18,23.24,5.3,105.42
B000105,Residential,,153.95,14,3663.06,Geothermal,43.52,Electricity,12.83,8.89,3.1,4.56
B000106,Residential,,157.66,9,2794.84,Wind,69.15,Electricity,16.63,42.82,2.05,31.58
B000107,Religious,1968.0,165.77,2,6192.16,Wind,66.73,Electricity,17.92,43.96,2.4,
B000108,Industrial,,561.78,14,9683.05,Wind,74.18,Electricity,20.14,-15.29,11.68,98.54
B000109,Commercial,,33.2,1,4760.36,Geothermal,38.92,Mixed Sources,31.66,20.71,6.44,102.99
B000110,Residential,,50.12,9,2643.65,Solar,78.18,Biomass,37.16,-5.4,2.99,44.96
B000111,Commercial,2013.0,935.09,19,2345.04,Geothermal,59.34,Biomass,12.84,31.94,5.02,42.31
B000112,Commercial,1986.0,139.95,16,8983.42,Solar,75.86,Electricity,23.79,30.5,4.8,119.91
B000113,Educational,,263.55,9,1274.39,Geothermal,34.45,Electricity,13.09,19.47,0.92,12.72
B000114,Educational,,189.88,19,2144.32,Wind,65.08,Electricity,25.65,37.5,11.17,55.42
B000115,Commercial,1924.0,401.81,1,18743.16,,47.49,Electricity,21.18,10.81,1.76,11.64
B000116,Commercial,,450.65,7,1379.33,Wind,63.44,Electricity,8.76,0.28,1.76,11.39
B000117,Government,1904.0,149.86,6,10249.97,Wind,63.48,Electricity,8.69,-5.76,6.37,34.57
B000118,Industrial,,211.78,1,1875.31,Solar,57.11,Electricity,44.71,-17.89,4.02,103.21
B000119,Hospitality,,327.48,20,14240.09,Wind,70.64,Electricity,45.1,43.56,10.9,26.69
B000120,Educational,,292.1,13,7887.1,Solar,89.19,Electricity,45.4,32.76,5.27,79.91
B000121,Industrial,,849.27,2,783.31,Solar,91.45,Biomass,13.2,12.53,4.63,3.21
B000122,Residential,1999.0,82.55,0,5419.91,Solar,80.24,Electricity,34.18,34.73,2.27,73.21
B000123,Retail,,1267.59,7,3150.9,Solar,57.89,Electricity,11.42,11.02,0.49,119.7
B000124,Healthcare,2018.0,163.62,11,5912.21,Hydro,61.6,Electricity,13.84,0.59,3.5,70.42
B000125,Commercial,1990.0,424.15,11,11483.15,Hydro,65.36,Electricity,26.63,5.99,11.96,87.52
B000126,Commercial,,337.03,14,4892.55,Geothermal,32.36,Biomass,35.57,-2.03,8.82,34.82
B000127,Residential,,93.95,22,3590.5,Solar,98.73,Electricity,23.14,-3.35,10.05,91.5
B000128,Educational,,206.3,6,8042.51,,88.59,Biomass,23.96,33.13,9.22,
B000129,Commercial,1967.0,280.86,1,14555.71,Wind,36.23,Electricity,13.79,16.07,11.59,42.27
B000130,Residential,,102.55,8,3173.17,Wind,53.68,Electricity,9.03,31.76,2.57,110.32
B000131,Commercial,,789.16,20,8920.72,Wind,70.44,Biomass,9.4,-14.84,7.23,102.48
B000132,Residential,,55.62,2,9756.49,Solar,98.02,Electricity,31.14,43.96,0.03,41.32
B000133,Retail,1923.0,93.14,0,7230.92,Solar,83.2,Electricity,21.14,27.26,2.41,
B000134,Residential,,37.84,20,8061.43,Hydro,71.09,Biomass,44.6,16.38,7.71,42.89
B000135,Residential,,137.99,6,2434.14,Geothermal,52.92,Electricity,18.53,14.08,11.17,46.42
B000136,Residential,1948.0,218.78,18,1368.2,Geothermal,48.24,Biomass,11.19,44.17,3.57,72.28
B000137,Residential,,81.63,21,2810.98,Hydro,,Electricity,30.58,36.73,11.45,55.12
B000138,Commercial,,362.53,18,5701.14,Wind,54.63,Electricity,13.67,41.63,6.64,27.54
B000139,Educational,,313.71,8,10739.98,Wind,35.58,Electricity,27.08,-3.04,5.16,6.8
B000140,Residential,,134.92,0,9585.0,Solar,67.35,Electricity,19.66,33.87,0.94,86.97
B000141,Hospitality,,252.82,8,6527.32,Solar,65.86,Biomass,34.88,7.39,11.62,69.78
B000142,Residential,1990.0,122.12,10,6569.53,Solar,69.11,Electricity,21.42,24.39,10.7,89.77
B000143,Government,2015.0,287.92,18,3285.12,Hydro,71.77,Electricity,33.53,4.74,2.51,20.06
B000144,Residential,,81.26,4,3463.81,Solar,66.8,Electricity,25.18,28.04,6.32,45.76
B000145,Residential,2016.0,23.52,14,5167.68,Solar,51.47,Electricity,27.73,23.63,10.21,12.79
B000146,Healthcare,1991.0,35.16,13,2121.65,Geothermal,,Electricity,40.83,16.61,3.38,40.78
B000147,Government,,1330.14,22,15708.01,Hydro,79.91,Electricity,8.25,18.26,4.76,5.78
B000148,Commercial,,161.56,3,2242.48,Solar,69.48,Biomass,49.08,-14.56,3.23,49.45
B000149,Commercial,1921.0,137.91,9,4960.02,Biomass,30.2,Biomass,28.02,29.75,6.42,95.32
B000150,Commercial,2012.0,342.64,14,10226.58,Hydro,79.56,Electricity,39.24,18.41,2.6,6.88
B000151,Residential,,102.61,8,7552.34,,87.06,Electricity,18.41,40.76,5.79,57.15
B000152,Educational,2003.0,299.6,13,11363.01,Wind,30.04,Electricity,29.79,33.8,7.86,101.48
B000153,Residential,,33.65,5,19390.13,Hydro,55.81,Electricity,43.43,-2.0,8.58,52.07
B000154,Commercial,,936.56,0,11418.35,Hydro,62.58,Biomass,8.78,23.01,6.13,63.24
B000155,Residential,,68.98,19,4823.86,Solar,51.27,Electricity,37.17,-3.7,5.76,72.67
B000156,Residential,,75.68,7,3944.88,Wind,88.32,Electricity,16.1,36.46,10.56,105.26
B000157,Educational,,40.24,20,11211.9,Hydro,67.34,Electricity,44.28,1.43,4.48,44.19
B000158,Industrial,,501.93,22,1060.79,Wind,76.76,Electricity,20.82,28.81,10.84,109.4
B000159,Healthcare,,188.94,20,8905.62,Solar,89.26,Electricity,10.68,-15.8,1.03,36.3
B000160,Commercial,,180.83,13,9131.12,Solar,75.89,Mixed Sources,23.42,-8.51,7.71,70.0
B000161,Educational,,309.82,15,900.11,Solar,66.07,Mixed Sources,46.56,-3.55,8.46,11.21
B000162,Residential,1991.0,103.03,0,16854.67,Hydro,58.18,Electricity,28.33,-4.68,7.37,1.59
B000163,Educational,,84.23,20,3538.33,Solar,72.21,Electricity,42.46,12.0,4.85,16.19
B000164,Educational,,564.48,12,3077.02,Solar,83.15,Biomass,17.22,26.55,11.82,36.04
B000165,Residential,1983.0,27.27,18,3802.57,Wind,,Electricity,22.64,41.37,9.63,7.21
B000166,Commercial,,957.63,4,8913.58,Solar,91.56,Electricity,14.6,41.01,6.56,65.25
B000167,Industrial,1943.0,448.86,17,8465.55,,94.48,Electricity,32.68,-4.83,9.51,109.48
B000168,Commercial,,1418.45,7,9251.16,Solar,98.45,Biomass,10.28,33.92,0.84,4.04
B000169,Healthcare,,108.89,1,3444.5,Wind,30.0,Electricity,19.77,20.75,5.19,54.09
B000170,Residential,,58.5,9,3368.97,Solar,62.94,Electricity,39.74,28.12,3.22,32.57
B000171,Commercial,,281.11,6,0.0,None,0.0,Natural Gas,14.04,22.57,2.79,29.14
B000172,Commercial,,237.12,1,3913.91,Wind,71.54,Electricity,37.27,37.84,2.91,2.93
B000173,Commercial,,131.54,10,9814.03,Solar,94.34,Mixed Sources,40.41,34.92,6.27,89.96
B000174,Hospitality,,192.41,14,7716.28,Solar,,Electricity,42.61,-2.43,7.86,16.73
B000175,Residential,,59.66,11,12049.16,Hydro,61.23,Electricity,19.28,34.68,3.99,10.17
B000176,Commercial,,48.06,15,14143.12,Hydro,71.32,Electricity,42.39,-5.39,4.9,16.98
B000177,Commercial,,269.2,10,3100.83,Solar,64.6,Electricity,34.0,-11.66,2.14,16.24
B000178,Industrial,,263.0,21,10201.86,Wind,75.73,Electricity,47.03,24.64,8.61,73.98
B000179,Industrial,2003.0,537.73,0,2767.04,Solar,80.96,Electricity,45.62,10.77,3.27,74.92
B000180,Residential,,110.98,18,5389.67,Solar,72.42,Electricity,23.78,11.42,2.74,50.72
B000181,Industrial,,461.68,15,6688.51,Biomass,33.12,Electricity,47.25,-3.8,5.9,114.92
B000182,Sports,2012.0,42.39,14,10603.28,Hydro,,Biomass,44.3,32.67,3.38,109.17
B000183,Residential,1926.0,59.35,0,10180.55,Wind,50.94,Mixed Sources,43.01,37.81,6.91,104.22
B000184,Religious,1991.0,78.97,11,1953.19,Solar,54.21,Electricity,28.48,37.07,3.41,17.52
B000185,Educational,,224.97,12,4532.84,Biomass,42.16,Electricity,44.71,9.53,2.83,76.35
B000186,Government,,451.75,14,16035.21,Hydro,51.8,Electricity,31.28,12.68,10.33,58.38
B000187,Educational,2004.0,376.8,17,4673.87,Hydro,74.51,Electricity,20.39,-15.56,8.9,14.84
B000188,Industrial,,148.21,10,2421.35,Wind,,Electricity,34.44,40.22,3.1,18.54
B000189,Residential,,245.11,14,13460.32,Wind,78.71,Electricity,11.78,-16.83,6.04,42.54
B000190,Educational,,377.85,0,1425.42,Geothermal,47.09,Electricity,30.83,26.23,1.18,71.64
B000191,Sports,1965.0,404.53,22,8466.24,Hydro,41.47,Mixed Sources,24.36,-5.6,9.83,1.6
B000192,Residential,,73.53,3,10350.6,Wind,59.7,Electricity,25.7,11.19,10.13,6.5
B000193,Retail,,55.76,8,8906.48,Wind,78.31,Electricity,22.3,33.66,10.32,112.92
B000194,Educational,,190.45,1,12508.52,Wind,78.7,Biomass,14.19,-19.75,9.0,96.39
B000195,Residential,,60.63,11,8806.18,Solar,97.33,Electricity,31.95,32.6,8.72,73.67
B000196,Retail,1940.0,403.19,14,4937.47,Wind,74.14,Electricity,27.02,-14.3,5.95,27.12
B000197,Residential,,155.02,6,4740.01,Solar,,Electricity,16.0,18.05,2.06,33.67
B000198,Commercial,2010.0,143.6,8,3740.4,Hydro,55.87,Electricity,47.84,29.84,8.23,94.98
B000199,Commercial,1983.0,411.25,7,1087.36,Wind,65.61,Electricity,22.75,27.75,6.41,109.98
B000200,Residential,,156.5,13,1733.31,Geothermal,47.51,Electricity,8.48,-9.89,8.97,12.35
B000201,Residential,2020.0,109.82,22,7723.21,Wind,83.7,Electricity,11.6,41.13,11.81,106.4
B000202,Commercial,,609.06,15,4123.18,,44.12,Electricity,20.45,-1.05,7.29,109.79
B000203,Residential,2015.0,49.73,2,5377.86,Solar,87.25,Electricity,18.32,-17.13,7.98,26.72
B000204,Commercial,,312.05,0,7626.81,Hydro,48.79,Electricity,32.15,9.62,6.87,60.63
B000205,Residential,2021.0,45.91,21,8632.14,Wind,,Electricity,48.64,22.09,2.61,8.75
B000206,Residential,,53.36,7,0.0,Tidal,0.0,Natural Gas,27.4,-10.53,8.57,46.54
B000207,Hospitality,,729.42,22,1936.24,Wind,63.55,Biomass,10.53,0.77,6.04,10.14
B000208,Industrial,,467.97,11,14369.02,Wind,78.98,Electricity,44.1,8.59,7.55,39.52
B000209,Commercial,2018.0,287.86,5,7204.55,Solar,74.1,Electricity,8.54,18.44,2.57,115.72
B000210,Residential,,96.36,14,9194.22,Wind,66.81,Biomass,24.74,-12.14,9.62,109.3
B000211,Industrial,,482.92,9,3340.66,Solar,61.54,Electricity,47.16,16.4,11.91,78.17
B000212,Residential,,114.32,4,8741.08,Wind,36.15,Biomass,17.04,-7.41,6.84,89.99
B000213,Residential,,60.1,23,7034.18,Solar,98.26,Electricity,25.14,-12.47,11.85,38.65
B000214,Residential,2013.0,28.63,0,2524.65,Solar,52.47,Biomass,32.72,-19.35,9.61,72.27
B000215,Industrial,,227.62,6,2371.08,Solar,78.58,Electricity,44.52,-3.59,0.99,66.74
B000216,Industrial,2018.0,2029.71,10,9066.38,Wind,33.94,Electricity,10.12,5.6,9.35,59.08
B000217,Industrial,,217.3,3,11573.93,Wind,37.26,Mixed Sources,42.69,10.11,4.67,84.56
B000218,Retail,,640.39,7,9215.97,Solar,69.5,Biomass,13.67,29.21,0.28,95.32
B000219,Educational,,161.78,7,11766.63,Wind,70.16,Mixed Sources,17.98,-11.8,2.3,112.08
B000220,Residential,1988.0,152.26,12,4030.88,Hydro,76.04,Biomass,19.18,25.97,7.78,92.82
B000221,Residential,,30.08,2,2678.6,Wind,62.44,Electricity,19.05,30.36,7.68,60.64
B000222,Commercial,,95.06,12,13450.06,Wind,68.12,Mixed Sources,24.37,38.15,7.05,52.94
B000223,Residential,,32.22,7,8994.9,Wind,40.22,Electricity,41.95,-19.84,8.83,58.49
B000224,Industrial,,234.05,14,12717.78,Wind,64.17,Electricity,45.71,44.95,9.27,3.89
B000225,Healthcare,,151.87,15,2029.13,Hydro,76.58,Electricity,16.84,23.6,5.0,39.17
B000226,Residential,,103.12,16,1951.29,Geothermal,30.62,Electricity,24.76,-10.7,2.68,
B000227,Commercial,1993.0,121.19,2,12881.67,,77.51,Biomass,45.04,-16.21,9.7,118.45
B000228,Educational,,539.17,20,10866.85,Hydro,53.35,Electricity,20.59,9.06,11.6,104.48
B000229,Residential,,278.82,20,5209.33,Solar,86.7,Electricity,9.51,14.76,2.07,42.97
B000230,Residential,,85.64,3,3678.18,Solar,95.37,Electricity,17.67,-7.28,5.11,11.2
B000231,Religious,1905.0,574.02,9,17965.95,Hydro,52.11,Electricity,7.61,9.88,3.95,67.12
B000232,Industrial,,704.67,19,1104.8,Solar,58.94,Biomass,32.91,38.78,10.29,92.53
B000233,Residential,1902.0,35.56,0,12066.58,Hydro,66.79,Biomass,33.38,20.36,9.75,10.53
B000234,Government,,357.66,5,2682.96,Solar,70.82,Electricity,31.3,30.43,4.02,119.48
B000235,Residential,,55.58,1,963.66,Solar,99.2,Electricity,48.22,3.92,4.42,83.74
B000236,Government,,562.87,16,7866.87,Hydro,79.29,Electricity,11.22,-3.88,4.43,111.26
B000237,Industrial,,422.87,18,12067.34,Hydro,46.58,Electricity,41.41,23.78,3.42,62.63
B000238,Residential,,29.82,1,2898.72,Wind,59.17,Electricity,42.35,31.98,1.53,20.37
B000239,Retail,1998.0,227.27,17,7302.02,Hydro,76.18,Electricity,34.68,30.04,9.24,93.06
B000240,Industrial,,594.55,8,5270.34,Wind,46.62,Biomass,24.41,35.8,1.3,98.44
B000241,Residential,,53.36,17,823.84,Solar,86.01,Electricity,29.67,28.69,4.37,0.73
B000242,Recreational,2001.0,259.15,6,1091.95,Geothermal,41.74,Electricity,45.92,9.74,1.4,48.54
B000243,Industrial,,502.83,1,3636.51,Geothermal,37.49,Electricity,31.75,-16.61,7.48,118.05
B000244,Residential,,71.03,15,3449.16,Geothermal,35.97,Biomass,11.39,19.85,1.49,90.03
B000245,Residential,,32.86,19,15139.22,Hydro,61.52,Electricity,42.68,9.09,4.62,3.6
B000246,Residential,2009.0,74.31,2,837.54,Solar,94.0,Biomass,14.66,39.2,11.85,116.2
B000247,Educational,,70.93,4,3235.09,Solar,95.3,Electricity,33.66,30.64,6.44,62.63
B000248,Residential,,61.54,13,9372.32,Wind,44.67,Electricity,45.15,-15.07,11.31,36.85
B000249,Residential,,60.42,9,3547.07,Wind,53.81,Electricity,33.0,16.95,2.58,16.13
B000250,Retail,2013.0,1081.6,7,13876.25,Hydro,43.35,Electricity,10.96,-12.96,2.89,90.16
B000251,Government,,300.84,23,0.0,None,0.0,Natural Gas,41.63,-18.86,6.42,23.04
B000252,Residential,1930.0,72.83,23,1533.4,Biomass,27.51,Electricity,40.89,23.45,2.7,6.07
B000253,Residential,,118.09,16,13556.15,Wind,34.55,Electricity,24.47,-19.84,5.59,102.09
B000254,Residential,,40.05,8,4420.13,Solar,74.26,Electricity,47.12,5.43,11.03,28.92
B000255,Educational,,233.44,4,10435.82,Wind,41.13,Electricity,43.21,-12.14,4.61,63.73
B000256,Industrial,,389.51,5,12220.84,Wind,31.2,Mixed Sources,43.13,-2.34,10.81,114.54
B000257,Commercial,1989.0,595.21,3,3862.45,Geothermal,,Biomass,15.15,44.62,5.65,76.68
B000258,Residential,,118.08,17,4446.31,Wind,63.51,Electricity,24.39,8.45,0.1,111.44
B000259,Commercial,2006.0,149.0,21,642.69,Geothermal,50.09,Electricity,19.66,-19.47,3.95,64.58
B000260,Retail,,371.26,2,6277.59,Solar,,Electricity,36.56,37.59,11.49,3.13
B000261,Religious,1983.0,97.59,11,8509.65,Solar,88.42,Biomass,31.6,-9.07,3.84,28.03
B000262,Residential,,218.25,17,6776.32,Hydro,49.52,Electricity,10.97,43.4,5.5,87.29
B000263,Residential,,99.53,12,5522.53,Solar,75.84,Electricity,18.5,13.59,4.9,83.56
B000264,Residential,,173.32,8,3148.61,Solar,97.58,Electricity,14.3,17.23,8.47,5.18
B000265,Commercial,,39.48,8,10395.01,Hydro,49.23,Electricity,29.28,4.38,2.43,69.32
B000266,Religious,,234.56,23,2128.02,Biomass,29.86,Electricity,22.78,10.2,10.29,13.9
B000267,Residential,,51.68,22,5518.02,,94.32,Electricity,47.37,-2.38,5.98,115.29
B000268,Residential,,149.28,13,0.0,Tidal,0.0,Natural Gas,17.73,14.22,10.41,81.04
