SensorID,SensorLocation,Pollutant_PM2.5_µg/m³,Pollutant_PM10_µg/m³,Pollutant_O3_ppb,Pollutant_NO2_ppb,Pollutant_CO_ppm,Pollutant_SO2_ppb,UrbanVegetationArea_m2,Humidity_%,AirTemperature_C,EnergySavingTechnology,AnnualEnergySavings_%,PopulationDensity_people/km²,RetrofitData,RenewableEnergyPercentage_%,AnnualEnergyConsumption_kWh,GreenSpaceIndex_%,HistoricPollutantLevels,Country,AQI_Index
S000028,Industrial Area,225.45,286.34,117.61,84.2,49.33,14.17,732.2,57.28,4.15,,27.73,1875.27,Yes,24.04,6627.62,18.94,69.7,Uzbekistan,179.15
S000029,Urban,245.84,29.52,178.94,132.62,27.03,5.05,2164.8,81.39,29.9,,23.14,2188.11,No,37.94,20886.68,50.37,161.33,Bangladesh,147.3
S000030,Rural,46.55,157.93200000000002,81.291,5.0,6.835,10.708,8768.14,63.94,7.04,,22.12,270.82,No,29.64,46099.99,13.57,186.62,Azerbaijan,64.12
S000031,Industrial Area,57.6,108.6,162.08,133.51,37.31,6.18,519.46,65.16,26.6,,17.02,1987.56,Yes,11.12,25901.24,16.21,199.02,Thailand,86.46
S000032,Industrial Area,222.43,267.32,52.63,55.16,49.14,77.28,1173.66,40.29,2.48,Efficient HVAC,17.33,1499.11,Yes,28.69,15215.98,35.88,154.54,Afghanistan,164.62
S000033,Industrial Area,140.76,229.78,124.13,17.98,2.05,21.52,544.75,85.28999999999999,26.89,LED Lighting,22.62,1336.8,Yes,30.53,10423.74,20.54,108.6,Kyrgyzstan,123.96
S000034,Rural,112.085,32.466,38.507,45.49,20.185,38.70400000000001,6322.03,66.4,22.02,Solar Panels,12.09,208.21,No,4.22,37241.24,46.36,78.64,Turkmenistan,65.61
S000035,Urban,42.93,43.22,39.66,85.87,32.62,94.23,,43.87,24.49,Solar Panels,28.52,1372.41,No,14.97,16467.2,19.04,56.09,Brunei,48.33
S000036,Urban,156.95,318.9,159.15,8.38,19.58,62.06,2122.4,62.99,20.16,Efficient HVAC,9.41,,No,8.11,5343.79,15.34,287.13,Brunei,156.33
S000037,Industrial Area,21.86,293.36,108.06,85.23,15.14,15.64,1303.62,78.00999999999999,9.93,Solar Panels,11.65,1744.81,No,12.59,41983.96,17.09,242.34,Malaysia,94.44
S000038,Rural,120.42,128.994,12.257,34.535,18.345,26.648000000000003,6843.88,71.94,20.49,Solar Panels,11.29,201.1,No,23.44,29601.41,32.03,126.94,Laos,82.43
S000039,Urban,47.95,333.73,58.94,10.79,13.46,52.59,2267.63,64.92999999999999,14.75,Solar Panels,36.27,2194.09,Yes,31.41,22258.08,42.89,145.11,Mongolia,99.82
S000040,Urban,38.48,297.06,151.8,64.97,21.39,17.48,2643.5,73.14,23.17,LED Lighting,34.01,1522.26,Yes,38.45,28163.47,16.55,73.9,Myanmar,107.08
S000041,Industrial Area,96.81,268.7,72.29,11.69,6.56,67.84,1181.29,53.28,-4.12,Efficient HVAC,11.11,874.81,No,,11522.09,26.7,256.47,Philippines,108.52
S000042,Rural,59.805,141.114,51.36599999999999,31.335,23.555,4.656000000000001,9675.86,54.43,21.05,Smart Thermostats,31.03,244.9,Yes,45.57,23625.19,43.95,287.0,Myanmar,65.57
S000043,Rural,63.645,54.6,138.208,66.56,18.905,8.459999999999999,,58.97,23.52,,26.91,215.08,Yes,10.1,19945.57,28.34,271.43,Bangladesh,66.08
S000044,Industrial Area,50.19,135.73,38.18,137.33,22.32,8.04,1176.05,70.37,7.75,LED Lighting,30.9,544.31,No,38.06,12704.82,26.99,192.61,Nepal,69.32
S000045,Urban,104.64,110.84,122.75,93.49,34.71,99.35,2921.58,63.15,6.2,Efficient HVAC,18.14,1961.86,No,14.0,18231.74,22.82,285.07,Cambodia,100.22
S000046,Suburban,48.33,224.46,111.36,144.2,22.89,81.31,,59.89,27.36,LED Lighting,39.08,701.44,Yes,32.67,20708.69,12.52,171.48,India,101.7
S000047,Industrial Area,13.61,239.57,21.77,91.65,21.99,71.22,,40.260000000000005,22.37,Efficient HVAC,12.65,596.58,Yes,4.42,11375.64,57.63,244.74,Laos,71.55
S000048,Urban,129.83,296.5,39.22,87.61,34.76,75.04,1356.67,76.72999999999999,6.02,LED Lighting,10.96,3117.26,No,2.43,36703.75,16.37,270.44,Maldives,133.1
S000049,Suburban,7.84,348.26,47.7,101.34,39.09,38.97,3327.47,61.34,12.09,Efficient HVAC,21.47,979.36,Yes,20.81,24639.26,44.69,101.1,Singapore,95.93
S000050,Industrial Area,183.89,83.86,197.75,45.8,27.9,15.09,986.62,45.67,23.21,Efficient HVAC,20.89,1253.53,Yes,36.44,45983.29,7.06,220.6,Turkmenistan,128.12
S000051,Industrial Area,239.9,112.05,149.16,114.39,46.92,94.38,501.4,67.66,16.58,Smart Thermostats,24.98,812.38,No,11.46,25600.48,58.95,81.76,Kazakhstan,161.59
S000052,Urban,134.83,324.23,194.84,125.57,45.66,28.1,2835.38,43.71,-3.17,Solar Panels,15.41,2869.61,No,17.11,43668.71,22.24,209.5,Tajikistan,166.53
S000053,Urban,111.36,56.09,110.19,59.66,9.38,18.52,854.13,55.23,10.99,LED Lighting,32.23,4943.82,No,,47133.2,20.53,216.26,Kyrgyzstan,80.12
S000054,Suburban,197.41,310.1,174.04,75.14,40.4,23.09,5234.96,63.04,-4.76,,28.48,,Yes,,15937.91,53.43,177.01,Myanmar,179.8
S000055,Industrial Area,103.56,149.88,57.33,40.91,6.97,58.32,,55.54,20.77,LED Lighting,31.01,1353.14,Yes,48.06,8266.25,41.66,182.45,Malaysia,87.7
S000056,Rural,92.41,205.362,113.14099999999999,5.53,17.05,12.488,8826.32,57.31,28.3,Solar Panels,33.24,115.76,No,45.04,14277.49,40.48,122.71,Mongolia,97.89
S000057,Rural,32.19,10.392,53.263,5.0,17.135,32.436,7207.32,69.75,-7.02,LED Lighting,9.9,194.89,No,2.19,42473.88,57.82,98.42,Myanmar,26.78
S000058,Rural,122.78,30.023999999999997,132.01999999999998,53.38,5.26,26.776,7624.98,75.77,31.59,LED Lighting,11.38,114.55,No,0.79,39116.69,27.93,141.99,Thailand,82.12
S000059,Rural,112.595,158.36999999999998,27.244,48.495,1.705,34.1,9179.57,47.78,24.79,Solar Panels,37.86,136.48,Yes,40.68,16809.63,18.15,171.94,Vietnam,87.52
S000060,Urban,28.31,301.82,66.82,45.06,46.49,28.19,,51.620000000000005,27.78,Solar Panels,20.96,1123.89,No,36.2,18453.42,17.81,264.47,Nepal,92.28
S000061,Urban,239.35,265.65,148.22,56.12,44.64,51.99,,84.94999999999999,5.19,,7.47,2688.26,No,2.61,14776.28,12.67,152.35,Uzbekistan,183.78
S000062,Suburban,217.33,308.7,13.04,148.27,13.35,87.67,6432.71,77.02,25.97,Solar Panels,27.0,456.29,Yes,35.9,6010.83,13.71,249.61,Philippines,171.17
S000063,Industrial Area,249.65,329.73,192.33,95.23,27.56,21.92,1138.88,63.970000000000006,15.829999999999998,,14.25,673.09,No,5.98,28899.89,21.9,150.0,Bangladesh,208.03
S000064,Industrial Area,39.22,293.58,180.64,99.56,24.99,26.59,,57.160000000000004,-4.2,Solar Panels,33.37,1830.73,Yes,31.23,38973.19,22.49,103.74,Myanmar,115.28
S000065,Industrial Area,168.77,155.44,64.32,9.94,29.35,40.1,,41.1,24.89,Solar Panels,12.35,1552.49,Yes,16.32,25705.12,35.79,86.27,Tajikistan,114.18
S000066,Industrial Area,111.34,245.25,191.99,130.11,41.61,6.21,1289.63,45.77,-3.58,,25.83,933.52,Yes,13.39,25105.33,20.56,204.44,Cambodia,139.87
S000067,Industrial Area,75.87,174.38,89.27,81.81,46.96,35.69,1355.78,58.35,-9.5,,34.95,,No,46.2,21927.42,18.73,149.48,South Korea,93.28
S000068,Industrial Area,23.68,292.28,83.01,130.72,18.98,47.86,,58.32,10.71,Smart Thermostats,24.01,1412.28,Yes,29.92,38287.21,7.2,201.92,Tajikistan,97.74
S000069,Urban,71.03,331.18,54.27,61.55,25.29,89.38,2720.7,49.2,3.64,LED Lighting,38.16,2859.97,Yes,42.48,19815.19,51.82,262.85,Bhutan,115.94
S000070,Industrial Area,206.13,221.45,131.01,48.0,33.04,52.78,,68.53999999999999,0.35,Solar Panels,20.31,1264.96,Yes,28.5,38846.93,37.63,89.94,Kazakhstan,157.14
S000071,Urban,187.59,228.88,167.36,101.73,34.31,51.04,2739.53,86.49,34.87,Solar Panels,20.7,3306.2,Yes,47.2,30225.79,13.87,244.78,India,162.07
S000072,Rural,105.51,31.854,23.653,52.23,24.955,29.332,8003.73,78.55,25.1,Smart Thermostats,23.91,271.08,Yes,41.11,32143.11,33.86,84.21,Yemen,61.31
S000073,Suburban,58.11,290.94,16.54,132.1,3.2,16.93,3547.92,42.79,-9.87,Solar Panels,12.04,600.45,Yes,2.89,26475.76,24.71,99.62,India,98.29
S000074,Industrial Area,78.36,145.68,37.32,59.23,35.36,83.7,715.29,54.59,7.31,Solar Panels,26.76,1657.71,Yes,30.24,30713.35,53.1,167.27,China,79.72
S000075,Industrial Area,7.76,85.56,187.65,132.57,12.97,20.31,1477.95,49.61,-6.93,LED Lighting,9.66,1518.52,No,0.99,26463.1,21.19,156.65,Thailand,63.93
S000076,Rural,23.27,191.538,60.507999999999996,19.75,15.02,31.864,9641.02,53.14,13.42,Solar Panels,19.18,148.76,No,10.1,12744.56,48.57,131.0,South Korea,61.76
S000077,Rural,31.53,179.172,20.86,49.94,7.525,20.16,5473.33,64.77,24.46,,26.45,163.7,Yes,37.48,46021.48,25.09,186.43,Brunei,58.33
S000078,Urban,108.91,73.1,29.86,105.44,20.29,80.36,675.08,69.46,32.58,Efficient HVAC,28.83,4755.77,Yes,27.85,14882.04,40.13,165.75,India,79.25
S000079,Rural,85.01,196.38,43.651999999999994,27.155,0.64,18.644000000000002,9311.25,75.52,-5.86,Solar Panels,11.07,137.57,No,7.17,10360.23,9.95,64.17,Uzbekistan,83.54
S000080,Urban,31.19,64.71,39.17,90.2,27.88,48.46,,57.14,8.34,Solar Panels,20.86,1008.7,No,40.84,12230.88,14.94,175.32,Maldives,45.52
S000081,Industrial Area,65.87,349.27,41.78,132.75,20.85,5.46,1484.54,75.94999999999999,23.32,Solar Panels,12.29,1810.12,Yes,17.13,25566.89,7.92,154.39,Malaysia,118.1
S000082,Rural,122.045,78.276,108.185,15.465,7.165,14.088000000000001,6293.96,54.17,-1.06,Solar Panels,10.52,99.51,Yes,2.46,9859.92,19.0,289.46,Cambodia,83.67
S000083,Rural,46.29,120.39599999999999,132.839,14.67,12.375,5.6000000000000005,7179.34,43.99,8.83,Solar Panels,29.0,253.52,No,39.59,11185.83,13.26,290.35,Cambodia,65.51
S000084,Urban,61.41,245.15,104.46,77.35,31.6,66.49,,71.67,25.39,Efficient HVAC,14.37,,Yes,,10581.41,42.19,160.3,Georgia,103.48
S000085,Urban,156.38,53.95,47.77,147.94,15.36,53.13,,48.93,-8.89,LED Lighting,5.01,1170.75,No,,25485.08,38.36,86.48,Thailand,99.49
S000086,Rural,16.165,151.218,53.346999999999994,41.2,10.945,4.38,5100.44,77.97,28.14,Efficient HVAC,17.96,210.19,Yes,21.19,34198.6,22.06,137.86,Singapore,50.15
S000087,Urban,112.21,321.72,59.59,18.56,10.15,2.97,,40.36,-7.88,Efficient HVAC,20.88,1810.6,No,13.4,25628.46,8.72,105.44,Brunei,121.19
S000088,Urban,91.88,25.57,36.86,100.63,13.82,38.64,2163.03,30.92,-5.24,LED Lighting,14.68,3822.82,Yes,,5226.47,47.13,98.04,South Korea,60.77
S000089,Urban,238.14,152.79,92.71,126.61,45.48,9.85,1515.05,42.85,0.9,Solar Panels,25.42,3127.22,Yes,35.68,23385.48,8.06,250.44,Tajikistan,157.42
S000090,Urban,39.01,302.95,81.76,37.09,28.25,20.46,,68.05,14.48,Solar Panels,23.58,2205.4,No,47.96,9808.26,51.28,144.51,Nepal,96.02
S000091,Industrial Area,29.97,167.08,58.08,87.24,12.62,82.16,589.27,52.6,26.3,Solar Panels,33.16,1260.75,Yes,43.72,10440.12,6.21,129.73,Japan,68.21
S000092,Industrial Area,79.89,74.68,121.42,114.56,20.73,70.04,1274.62,65.67,-7.74,,22.9,1741.11,No,12.41,20046.02,25.82,163.81,Kyrgyzstan,82.14
S000093,Suburban,54.69,180.23,171.84,127.56,19.43,25.17,3066.94,40.81,2.02,Solar Panels,33.5,938.89,No,40.83,7340.72,22.35,95.57,Laos,99.66
S000094,Suburban,68.45,209.42,129.7,147.01,32.59,6.87,6009.74,88.13,10.36,Solar Panels,34.64,463.34,Yes,43.48,34005.62,8.8,91.86,Brunei,107.02
S000095,Urban,210.69,135.82,105.5,33.29,36.57,43.51,1444.07,55.96,13.35,Solar Panels,29.62,4216.86,Yes,48.57,32460.89,16.02,120.82,Bhutan,136.43
S000096,Urban,244.28,36.3,119.39,135.42,26.09,63.43,,65.16,12.44,,25.25,4156.01,Yes,14.51,9438.77,23.47,205.98,Laos,142.2
S000097,Industrial Area,196.72,273.21,194.11,28.03,33.41,56.11,1100.82,50.370000000000005,-2.26,Efficient HVAC,24.72,1296.56,Yes,12.81,32097.59,19.43,55.0,Indonesia,171.4
S000098,Industrial Area,236.54,325.88,47.84,133.46,47.99,42.53,,67.8,32.74,,7.08,1933.3,No,7.2,12552.25,12.09,104.97,Philippines,187.24
S000099,Rural,67.895,155.094,107.85600000000001,37.895,11.035,27.412000000000003,6216.31,61.97,34.7,Solar Panels,14.05,146.98,Yes,28.93,38316.26,21.43,178.25,Laos,80.62
S000100,Urban,181.68,196.76,46.97,55.09,9.39,68.23,,64.39,32.05,Smart Thermostats,23.36,4253.89,Yes,36.51,7110.8,24.39,240.61,Myanmar,128.93
S000101,Industrial Area,199.2,43.72,51.54,105.82,14.91,28.54,519.91,64.99,10.29,Solar Panels,29.12,,No,21.16,44629.14,42.81,75.23,Turkmenistan,109.66
S000102,Industrial Area,59.6,82.99,112.81,115.95,47.44,80.15,,34.9,30.06,Solar Panels,14.97,,Yes,10.53,23932.34,15.6,262.78,Georgia,77.71
S000103,Urban,70.56,290.25,107.76,53.59,7.17,59.56,,45.1,23.78,Solar Panels,9.98,1180.22,Yes,4.8,48272.8,53.76,96.32,Azerbaijan,111.49
S000104,Urban,21.5,144.34,43.84,94.6,11.45,88.91,,61.24,33.52,Solar Panels,10.16,,Yes,26.51,18826.9,30.25,145.42,Turkmenistan,59.09
S000105,Urban,149.2,192.46,76.95,140.22,18.4,8.76,1565.51,71.51,-0.66,Solar Panels,29.47,2868.28,Yes,23.45,21910.38,16.67,267.07,Bhutan,126.01
S000106,Industrial Area,21.13,264.75,86.64,51.81,32.46,84.09,1192.03,63.050000000000004,-8.99,LED Lighting,13.57,1017.88,No,3.2,48272.77,47.53,58.83,Azerbaijan,87.03
S000107,Urban,100.35,88.1,119.71,125.72,6.12,67.05,2837.87,52.84,-7.82,,20.28,2505.02,No,22.33,6109.62,18.53,84.21,Kyrgyzstan,92.25
S000108,Urban,190.04,101.15,84.85,137.76,7.86,95.8,764.5,86.24,-5.18,Solar Panels,11.05,,No,4.28,26657.93,47.97,173.86,Kyrgyzstan,128.33
S000109,Urban,21.96,163.06,158.74,63.63,45.49,99.63,509.31,76.78,31.59,Solar Panels,32.24,4859.35,No,42.93,8035.99,35.91,86.99,Georgia,81.1
S000110,Industrial Area,66.04,122.43,176.14,50.23,1.48,46.64,1177.8,72.41,15.79,Solar Panels,7.81,1909.76,Yes,6.07,29749.31,5.78,231.04,Azerbaijan,84.83
S000111,Urban,126.64,147.45,13.92,119.71,36.02,15.2,2566.54,55.48,11.84,Efficient HVAC,13.72,4180.52,No,18.1,39274.74,33.07,95.49,Tajikistan,98.57
S000112,Urban,55.36,222.82,105.12,50.48,20.61,7.08,2049.35,62.56,26.17,LED Lighting,26.04,3811.1,Yes,20.68,31166.39,17.27,96.65,Turkmenistan,89.94
S000113,Urban,228.73,118.33,16.0,86.61,33.43,40.37,2038.51,55.190000000000005,8.3,Solar Panels,26.23,1380.2,No,49.8,19666.28,38.63,281.97,Timor-Leste,131.58
S000114,Rural,69.365,154.83,111.67099999999999,11.16,8.575,16.052000000000003,7884.25,40.39,-4.4,Insulation,13.63,125.52,No,9.02,31345.8,29.28,83.56,Brunei,78.24
S000115,Rural,49.36,170.292,37.407999999999994,33.305,22.23,5.596,,52.1,-6.61,,32.24,202.55,No,40.27,10248.81,23.71,191.74,Brunei,65.25
S000116,Industrial Area,11.94,145.37,130.93,66.63,34.19,33.01,,69.85,7.31,Smart Thermostats,23.59,505.34,No,13.4,10465.17,57.39,247.42,Yemen,65.22
S000117,Rural,35.27,55.206,127.351,53.705,22.565,5.0120000000000005,8441.83,41.26,19.48,Efficient HVAC,13.79,216.32,Yes,0.65,31394.15,36.37,209.89,Turkmenistan,52.13
S000118,Rural,16.865,109.404,111.517,35.145,20.7,10.636000000000001,,52.71,23.8,LED Lighting,15.39,85.85,Yes,18.17,20533.62,15.51,157.68,Nepal,51.47
S000119,Urban,58.0,319.1,150.77,11.47,24.02,65.29,1943.37,54.400000000000006,7.32,LED Lighting,9.29,4525.81,No,7.07,42778.3,58.49,102.94,Brunei,116.45
S000120,Urban,122.34,228.66,82.03,54.94,22.18,54.31,923.92,46.27,20.51,Solar Panels,25.6,3970.87,No,39.24,44911.78,28.78,110.23,Vietnam,117.4
S000121,Urban,249.81,292.01,76.05,30.16,17.79,90.24,654.06,65.44,-7.03,,19.36,4774.47,Yes,12.31,15636.25,13.38,254.95,Nepal,179.04
S000122,Industrial Area,246.3,61.97,30.44,117.35,4.09,52.91,903.74,74.36,33.82,Solar Panels,27.33,1815.23,No,16.73,46545.22,35.33,196.69,Bhutan,130.27
S000123,Urban,39.37,295.85,87.58,101.36,27.23,83.5,1729.71,46.35,24.72,Efficient HVAC,29.67,3988.71,No,33.67,16514.93,37.45,129.71,Kyrgyzstan,105.09
S000124,Urban,148.62,94.74,102.68,55.59,31.46,51.5,2941.46,52.63,33.95,LED Lighting,28.11,3930.4,No,15.62,26366.17,10.59,230.41,Myanmar,105.08
S000125,Urban,203.78,135.16,162.73,34.76,42.63,17.73,1780.87,75.72,14.82,Efficient HVAC,22.89,1920.98,Yes,30.97,25688.83,22.13,197.47,Brunei,141.58
S000126,Rural,94.045,52.806000000000004,70.74199999999999,7.89,16.755,6.676000000000001,7032.6,76.47,0.54,LED Lighting,27.48,,Yes,17.8,13955.19,27.41,82.13,Tajikistan,61.59
S000127,Industrial Area,58.75,260.58,66.45,108.55,30.51,53.51,955.49,73.69,30.48,LED Lighting,29.58,1929.98,Yes,46.71,14691.18,12.07,244.96,China,102.17
S000128,Industrial Area,202.36,25.99,137.97,129.09,34.41,19.4,948.51,75.03999999999999,14.81,LED Lighting,14.55,1782.08,No,1.9,13637.77,12.14,93.27,Indonesia,124.16
S000129,Industrial Area,17.81,266.83,84.99,137.64,20.58,89.28,1266.15,85.27,33.23,Efficient HVAC,11.32,1547.47,No,10.22,46606.48,12.44,224.43,Brunei,93.52
S000130,Rural,21.47,161.30399999999997,104.146,26.34,5.99,25.328000000000003,6953.36,44.15,1.86,,14.53,190.77,No,0.96,23995.43,16.56,135.47,Pakistan,60.97
S000131,Rural,61.845,91.446,32.039,46.77,13.615,8.952,8667.39,52.22,25.49,Solar Panels,19.23,,Yes,19.92,25683.74,40.86,134.93,Thailand,54.32
S000132,Industrial Area,68.53,112.69,59.89,143.55,48.27,95.01,980.82,64.9,2.07,Efficient HVAC,16.42,1507.3,Yes,17.71,19206.26,15.04,187.56,Malaysia,82.87
S000133,Urban,229.66,225.03,29.95,65.64,8.84,5.94,1401.7,85.07,16.78,Insulation,9.6,3334.78,No,,26707.58,24.73,175.9,Georgia,149.11
S000134,Urban,58.95,135.18,35.63,70.49,39.79,4.63,1581.04,37.89,18.9,Solar Panels,26.66,2315.83,No,11.8,37921.29,56.67,210.98,Brunei,67.22
S000135,Industrial Area,220.31,134.3,161.29,67.33,35.78,4.96,,73.75999999999999,5.44,Efficient HVAC,5.07,1636.61,Yes,7.85,9497.16,23.68,201.49,Azerbaijan,149.74
S000136,Industrial Area,122.6,137.21,96.07,99.37,3.35,98.21,,53.13,15.97,Solar Panels,7.16,1218.82,No,5.2,45245.06,31.8,110.43,Armenia,106.07
S000137,Industrial Area,147.26,172.08,198.0,79.03,0.72,5.3,736.62,61.3,16.97,Smart Thermostats,39.49,,No,31.0,36637.9,27.75,55.39,Bangladesh,131.26
S000138,Suburban,56.24,188.26,53.57,105.28,25.2,20.05,6909.95,76.55,17.32,Solar Panels,30.47,534.93,Yes,35.31,29368.33,55.06,151.26,Timor-Leste,82.23
S000139,Rural,51.52,41.24399999999999,92.862,37.005,5.64,4.492,6136.54,35.25,3.67,Efficient HVAC,26.21,298.25,No,19.61,40842.43,50.54,253.82,Yemen,47.28
S000140,Industrial Area,244.99,175.03,136.27,53.74,4.4,85.62,634.06,76.35,20.65,Efficient HVAC,25.78,768.8,No,35.46,38235.84,57.49,194.26,Vietnam,163.54
S000141,Rural,21.905,72.89999999999999,118.377,15.27,15.075,34.848000000000006,,48.5,22.33,LED Lighting,26.3,209.61,Yes,34.58,37952.5,21.3,127.76,Cambodia,45.88
S000142,Urban,61.6,11.95,99.48,56.93,38.04,31.57,1483.1,55.5,7.89,Efficient HVAC,11.53,4179.11,Yes,23.54,32159.21,49.19,105.81,Sri Lanka,53.03
S000143,Industrial Area,68.95,204.87,169.68,19.45,1.0,88.97,773.4,52.230000000000004,33.16,Efficient HVAC,35.84,857.82,No,30.02,46475.58,34.01,252.39,Turkmenistan,100.5
S000144,Industrial Area,188.53,268.48,153.75,133.98,28.12,12.36,1178.6,61.27,18.24,Solar Panels,13.06,1387.38,Yes,9.8,21664.33,53.3,181.33,Brunei,169.0
S000145,Urban,191.97,42.16,23.13,139.78,30.0,27.9,1112.56,86.31,6.29,Smart Thermostats,30.06,,Yes,49.51,44551.54,36.64,184.82,Thailand,107.06
S000146,Urban,88.98,265.83,160.19,121.99,14.27,66.22,1545.64,52.870000000000005,34.77,LED Lighting,8.13,1710.3,Yes,1.64,11388.31,9.75,51.84,Cambodia,129.72
S000147,Rural,62.055,63.995999999999995,32.417,25.99,7.825,8.916,5862.79,75.33,-0.3,,27.28,214.54,No,32.73,38121.95,55.51,226.95,Brunei,46.31
